date,edition,seq,status,chars,url
1919-12-01,ed-1,1,skip,40649,https://www.loc.gov/resource/sn83045462/1919-12-01/ed-1/?sp=1
1919-12-01,ed-1,2,skip,41507,https://www.loc.gov/resource/sn83045462/1919-12-01/ed-1/?sp=2
1919-12-01,ed-1,3,skip,22777,https://www.loc.gov/resource/sn83045462/1919-12-01/ed-1/?sp=3
1919-12-01,ed-1,4,skip,15009,https://www.loc.gov/resource/sn83045462/1919-12-01/ed-1/?sp=4
1919-12-01,ed-1,5,skip,19275,https://www.loc.gov/resource/sn83045462/1919-12-01/ed-1/?sp=5
1919-12-01,ed-1,6,skip,29764,https://www.loc.gov/resource/sn83045462/1919-12-01/ed-1/?sp=6
1919-12-01,ed-1,7,skip,23343,https://www.loc.gov/resource/sn83045462/1919-12-01/ed-1/?sp=7
1919-12-01,ed-1,8,skip,26409,https://www.loc.gov/resource/sn83045462/1919-12-01/ed-1/?sp=8
1919-12-01,ed-1,9,skip,17452,https://www.loc.gov/resource/sn83045462/1919-12-01/ed-1/?sp=9
1919-12-01,ed-1,10,skip,38508,https://www.loc.gov/resource/sn83045462/1919-12-01/ed-1/?sp=10
1919-12-01,ed-1,11,skip,44081,https://www.loc.gov/resource/sn83045462/1919-12-01/ed-1/?sp=11
1919-12-01,ed-1,12,skip,14079,https://www.loc.gov/resource/sn83045462/1919-12-01/ed-1/?sp=12
1919-12-01,ed-1,13,skip,21124,https://www.loc.gov/resource/sn83045462/1919-12-01/ed-1/?sp=13
1919-12-01,ed-1,14,skip,15170,https://www.loc.gov/resource/sn83045462/1919-12-01/ed-1/?sp=14
1919-12-01,ed-1,15,skip,24042,https://www.loc.gov/resource/sn83045462/1919-12-01/ed-1/?sp=15
1919-12-01,ed-1,16,skip,14602,https://www.loc.gov/resource/sn83045462/1919-12-01/ed-1/?sp=16
1919-12-01,ed-1,17,skip,20861,https://www.loc.gov/resource/sn83045462/1919-12-01/ed-1/?sp=17
1919-12-01,ed-1,18,skip,18644,https://www.loc.gov/resource/sn83045462/1919-12-01/ed-1/?sp=18
1919-12-01,ed-1,19,skip,18299,https://www.loc.gov/resource/sn83045462/1919-12-01/ed-1/?sp=19
1919-12-01,ed-1,20,skip,17566,https://www.loc.gov/resource/sn83045462/1919-12-01/ed-1/?sp=20
1919-12-01,ed-1,21,skip,26087,https://www.loc.gov/resource/sn83045462/1919-12-01/ed-1/?sp=21
1919-12-01,ed-1,22,skip,14851,https://www.loc.gov/resource/sn83045462/1919-12-01/ed-1/?sp=22
1919-12-01,ed-1,23,skip,21277,https://www.loc.gov/resource/sn83045462/1919-12-01/ed-1/?sp=23
1919-12-01,ed-1,24,skip,28319,https://www.loc.gov/resource/sn83045462/1919-12-01/ed-1/?sp=24
1919-12-01,ed-1,25,skip,20913,https://www.loc.gov/resource/sn83045462/1919-12-01/ed-1/?sp=25
1919-12-01,ed-1,26,skip,60358,https://www.loc.gov/resource/sn83045462/1919-12-01/ed-1/?sp=26
1919-12-01,ed-1,27,skip,59680,https://www.loc.gov/resource/sn83045462/1919-12-01/ed-1/?sp=27
1919-12-01,ed-1,28,skip,49544,https://www.loc.gov/resource/sn83045462/1919-12-01/ed-1/?sp=28
1919-12-01,ed-1,29,skip,55868,https://www.loc.gov/resource/sn83045462/1919-12-01/ed-1/?sp=29
1919-12-01,ed-1,30,skip,24530,https://www.loc.gov/resource/sn83045462/1919-12-01/ed-1/?sp=30
1919-12-02,ed-1,1,skip,40901,https://www.loc.gov/resource/sn83045462/1919-12-02/ed-1/?sp=1
1919-12-02,ed-1,2,skip,43982,https://www.loc.gov/resource/sn83045462/1919-12-02/ed-1/?sp=2
